energy_cost_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-ENERGY_COST_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.85,index,valid,synthetic_energy,6.19,0,6.19,14237
ENERGY-ENERGY_COST_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,56.16,index,valid,synthetic_energy,3.49,0,3.49,8027
ENERGY-ENERGY_COST_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.15,index,valid,synthetic_energy,7.98,0,7.98,18354
ENERGY-ENERGY_COST_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.79,index,valid,synthetic_energy,4.88,0,4.88,11224
ENERGY-ENERGY_COST_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.35,index,valid,synthetic_energy,7.15,0,7.15,16445
ENERGY-ENERGY_COST_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,46.44,index,valid,synthetic_energy,7.55,0,7.55,17365
ENERGY-ENERGY_COST_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,34.99,index,valid,synthetic_energy,3.57,0,3.57,8211
ENERGY-ENERGY_COST_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,65.18,index,valid,synthetic_energy,6.3,0,6.3,14490
ENERGY-ENERGY_COST_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,29.13,index,valid,synthetic_energy,3.23,0,3.23,7429
ENERGY-ENERGY_COST_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,76.72,index,valid,synthetic_energy,4.86,0,4.86,11178
ENERGY-ENERGY_COST_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,28.46,index,valid,synthetic_energy,7.09,0,7.09,16307
ENERGY-ENERGY_COST_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,63.06,index,valid,synthetic_energy,6.26,0,6.26,14398
ENERGY-ENERGY_COST_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,78.77,index,valid,synthetic_energy,6.44,0,6.44,14812
ENERGY-ENERGY_COST_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,19.87,index,valid,synthetic_energy,5.78,0,5.78,13294
ENERGY-ENERGY_COST_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,76.83,index,valid,synthetic_energy,3.44,0,3.44,7912
ENERGY-ENERGY_COST_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,66.86,index,valid,synthetic_energy,3.73,0,3.73,8579
ENERGY-ENERGY_COST_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,26.64,index,valid,synthetic_energy,5.6,0,5.6,12880
ENERGY-ENERGY_COST_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,80.43,index,valid,synthetic_energy,5.51,0,5.51,12673
