id,difficulty,domain,question
E001,easy,common_location,Đếm tổng số tỉnh duy nhất trong danh mục địa bàn f_location_new.
E002,easy,common_location,Liệt kê danh sách mã tỉnh và tên tỉnh thuộc Khu vực 1 (AREA_1) từ bảng địa bàn f_location_new.
E003,easy,network_kpi_5g,Đếm số lượng cell 5G có trong danh sách loại trừ occean_cell.
E004,easy,fbb,Đếm số lượng tài khoản FTTH PPPoE thuộc nhóm khách hàng VIP (groupname = 'FTTH_VIP').
E005,easy,alarm,Liệt kê mã phòng ban và tên phòng ban thuộc khối NOC trong danh mục GNOC.
E006,easy,data_monitoring,Lấy danh sách các nhóm giám sát dữ liệu có mã id nhỏ hơn hoặc bằng 2 trong bảng groups.
E007,easy,data_monitoring,Đếm tổng số bản ghi trong danh sách đen người dùng theo khu vực có id <= 15.
E008,easy,network_kpi_5g,Đếm số lượng bản ghi KPI 5G tại tỉnh Hà Nội (HNI) trong ngày 2026-08-20.
E009,easy,network_kpi_5g,Lấy 5 cell 5G có thông lượng người dùng tải xuống cao nhất trong ngày 2026-08-20.
E010,easy,alarm,Đếm tổng số sự kiện cảnh báo sự cố nghiêm trọng (CRITICAL) được ghi nhận trong bảng gnoc.
E011,easy,fbb,Lấy danh sách các máy chủ xác thực sbr_server duy nhất trong bảng authentication.
E012,easy,fbb,Đếm số lượng sự kiện xác thực có số lượt chấp thuận (accept) lớn hơn 150.
E013,easy,alarm,Liệt kê các nhà cung cấp thiết bị (vendor) khác nhau trong bảng sự kiện gnoc có tên nhà cung cấp không rỗng.
E014,easy,network_kpi_4g,Tính thông lượng tải xuống trung bình của mạng 4G trong ngày 2026-08-20.
E015,easy,alarm,Đếm số lượng cảnh báo có mức độ quan trọng là CRITICAL trong bảng gnoc.
E016,easy,common_location,Liệt kê các mã khu vực (area_code) duy nhất có trong bảng f_location_new.
E017,easy,fbb,Đếm số tài khoản FTTH có giới hạn đăng nhập (loginlimit) bằng 1.
E018,easy,fbb,Lấy 5 địa chỉ IP duy nhất đầu tiên được ghi nhận trong bảng accounting.
E019,easy,network_kpi_5g,Đếm số cell trong occean_cell có loại cell là '5G_NR'.
