carbon_emission_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-CARBON_EMISSION_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,34.33,index,valid,synthetic_energy,3.66,0,3.66,8418
ENERGY-CARBON_EMISSION_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,63.88,index,valid,synthetic_energy,4.5,0,4.5,10350
ENERGY-CARBON_EMISSION_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,29.66,index,valid,synthetic_energy,7.96,0,7.96,18308
ENERGY-CARBON_EMISSION_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,31.68,index,valid,synthetic_energy,5.32,0,5.32,12236
ENERGY-CARBON_EMISSION_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,57.01,index,valid,synthetic_energy,4.45,0,4.45,10235
ENERGY-CARBON_EMISSION_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,84.57,index,valid,synthetic_energy,7.12,0,7.12,16376
ENERGY-CARBON_EMISSION_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,46.05,index,valid,synthetic_energy,4.29,0,4.29,9867
ENERGY-CARBON_EMISSION_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,42.86,index,valid,synthetic_energy,7.75,0,7.75,17825
ENERGY-CARBON_EMISSION_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,76.79,index,valid,synthetic_energy,5.55,0,5.55,12765
ENERGY-CARBON_EMISSION_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,42.93,index,valid,synthetic_energy,6.56,0,6.56,15088
ENERGY-CARBON_EMISSION_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,64.46,index,valid,synthetic_energy,7.54,0,7.54,17342
ENERGY-CARBON_EMISSION_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.88,index,valid,synthetic_energy,6.89,0,6.89,15847
ENERGY-CARBON_EMISSION_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,80.88,index,valid,synthetic_energy,4.96,0,4.96,11408
ENERGY-CARBON_EMISSION_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,38.38,index,valid,synthetic_energy,5.78,0,5.78,13294
ENERGY-CARBON_EMISSION_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,44.23,index,valid,synthetic_energy,5.48,0,5.48,12604
ENERGY-CARBON_EMISSION_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,80.71,index,valid,synthetic_energy,4.41,0,4.41,10143
ENERGY-CARBON_EMISSION_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,76.53,index,valid,synthetic_energy,7.89,0,7.89,18147
ENERGY-CARBON_EMISSION_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,39.97,index,valid,synthetic_energy,5.73,0,5.73,13179
