catalog,schema,table_name,table_fqn,domain,is_executable,primary_grain,column_count,description
hive,npms,kpi_access5g_5g_cell_peak_view,VTNet Datalake Presto.hive.npms.kpi_access5g_5g_cell_peak_view,Network KPI/5G,True,cell-hour,395,"[AI Gen] Bảng này lưu trữ dữ liệu KPI truy cập 5G của các ô mạng, cung cấp thông tin về tốc độ đạt đỉnh (peak) của dịch vụ dữ liệu 5G tại từng cell. Dữ liệu được thu thập trong môi trường Data Lake của VTNet, hỗ trợ phân tích hiệu năng mạng, tối ưu hoá nguồn lực và chuẩn bị cho các báo cáo KPI cấp độ cell."
hive,npms,occean_cell,VTNet Datalake Presto.hive.npms.occean_cell,Network KPI/5G,True,cell-hour,6,"[AI Gen] Bảng VTNet Datalake Presto.hive.npms.occean_cell là một bảng trong kho dữ liệu Datalake, được truy vấn bằng Presto và lưu trữ trên Hive. Bảng này thu thập và lưu trữ các thông tin liên quan đến các cell (ô) trong mạng Oceán, phục vụ cho việc phân tích, giám sát và tối ưu hoá mạng viễn thông. Tất cả các cột hiện có đều có kiểu dữ liệu VARCHAR, biểu thị nội dung dạng chuỗi ký tự."
hive,npms,kpi_access4g_all_day_normal,VTNet Datalake Presto.hive.npms.kpi_access4g_all_day_normal,Network KPI/5G,True,hourly,103,"[AI Gen] Bảng thống kê KPI truy cập 4G hàng ngày (chuẩn bình thường) của hệ thống VTNet, lưu trữ trong Data Lake Presto. Dữ liệu được tổng hợp theo cấp tỉnh, khu vực và thời gian (ngày, giờ), bao gồm các chỉ số về hiệu suất radio, mạng lõi, chuyển vị, và dịch vụ VoLTE."
hive,npms,kpi_4g_week_view,VTNet Datalake Presto.hive.npms.kpi_4g_week_view,Network KPI/5G,True,hourly,12,"[AI Gen] Bảng này chứa dữ liệu KPI (Key Performance Indicator) của mạng 4G được tổng hợp theo tuần, bao gồm các chỉ số quan trọng như lưu lượng, số lượng người dùng, và chất lượng dịch vụ, chia theo khu vực, quốc gia và thời gian. Dữ liệu được lưu trữ trong Data Lake và truy vấn bằng Presto trên Hive, phù hợp cho việc phân tích xu hướng và đánh giá hiệu suất mạng hằng tuần."
hive,npms,kpi_coremobile_gmsc_object_tcat_hour_normal,VTNet Datalake Presto.hive.npms.kpi_coremobile_gmsc_object_tcat_hour_normal,Network KPI/5G,True,hourly,11,"[AI Gen] Bảng này lưu trữ dữ liệu KPI Core Mobile theo mức GMSC, phân loại theo đối tượng (object) và danh mục giao dịch (tcat) trên cơ sở giờ chuẩn (hour) của hệ thống. Dữ liệu được thu thập hàng giờ, hỗ trợ phân tích hiệu năng và xu hướng hoạt động của mạng Core Mobile trong môi trường VTNet Datalake, sử dụng Presto/Hive cho truy vấn nhanh."
hive,npms,iptv_bad_kqi,VTNet Datalake Presto.hive.npms.iptv_bad_kqi,Network KPI/5G,True,hourly,5,"[AI Gen] Bảng này lưu trữ dữ liệu KPI chất lượng (KQI) của dịch vụ IPTV, bao gồm các chỉ số lỗi (bad) được phân loại theo loại lỗi, tỉnh, thời gian và tổng số. Dữ liệu được thu thập trong môi trường Datalake của VTNet, truy cập qua Presto trên Hive, nhằm hỗ trợ phân tích chất lượng dịch vụ và đưa ra biện pháp cải thiện."
hive,npms,iptv_qos_data,VTNet Datalake Presto.hive.npms.iptv_qos_data,Network KPI/5G,True,snapshot/entity,39,"[AI Gen] Bảng này lưu trữ các chỉ số chất lượng dịch vụ (QoS) của hệ thống IPTV thu thập từ các thiết bị đầu cuối và thiết bị mạng tại các khu vực khác nhau. Dữ liệu được ghi lại theo từng khoảnh khắc thời gian (date_hour_minute) và dùng để phân tích hiệu năng, phát hiện lỗi và tối ưu hoá trải nghiệm người dùng."
hive,npms,cntt_ram_server_hour,VTNet Datalake Presto.hive.npms.cntt_ram_server_hour,Network KPI/5G,True,hourly,4,"[AI Gen] Bảng này lưu trữ dữ liệu mức sử dụng RAM (RAM usage) của các server trên mạng VTNet, được thu thập và tổng hợp theo từng giờ. Dữ liệu được ghi lại trong hệ thống Datalake, truy cập qua Presto Hive, thuộc schema npms và bảng cntt_ram_server_hour. Mỗi bản ghi phản ánh trạng thái RAM tại một thời điểm nhất định, hỗ trợ phân tích hiệu năng và dự báo nhu cầu tài nguyên."
hive,npms,ericsson_vudc_eric_udr_app_counter_grp_hssismactiveusers_group,VTNet Datalake Presto.hive.npms.ericsson_vudc_eric_udr_app_counter_grp_hssismactiveusers_group,Network KPI/5G,True,account-hour,14,"[AI Gen] Bảng này nằm trong hệ thống VTNet Datalake, được truy vấn bằng Presto trên Hive. Nó lưu trữ các số liệu đếm tổng số người dùng IMS (IP Multimedia Subsystem) đang hoạt động, phân nhóm theo HSS (Home Subscriber Server) và các thuộc tính liên quan. Dữ liệu được ghi nhận theo khoảng thời gian và có thể được dùng để phân tích mức độ sử dụng dịch vụ di động, theo quốc gia, nguồn dữ liệu và thời gian ghi nhận."
hive,npms,ericsson_vudc_eric_udr_app_counter_grp_hssesmusersstored_group,VTNet Datalake Presto.hive.npms.ericsson_vudc_eric_udr_app_counter_grp_hssesmusersstored_group,Network KPI/5G,True,account-hour,14,"[AI Gen] Bảng này lưu trữ dữ liệu tổng hợp các chỉ số của ứng dụng UDR (User Data Repository) liên quan tới số lượng người dùng EPS (Evolved Packet System) được lưu trữ trong HSS/ESM, được nhóm theo nhiều chiều như thời gian, loại đối tượng, và vị trí địa lý, phục vụ cho việc phân tích và báo cáo trong môi trường VTNet Datalake."
hive,npms,ericsson_udc_cudb_hssesmactiveusers,VTNet Datalake Presto.hive.npms.ericsson_udc_cudb_hssesmactiveusers,Network KPI/5G,True,account-hour,20,"[AI Gen] Bảng chứa dữ liệu thống kê số người dùng EPS (Evolved Packet System) hoạt động, được trích xuất từ hệ thống Ericsson UDC CUDb HSS ESM. Dữ liệu được lưu trữ trong môi trường VTNet Datalake và truy vấn bằng Presto trên Hive, phục vụ cho việc phân tích hiệu năng mạng di động và lập kế hoạch tài nguyên."
hive,npms,kpi_access3g_all_day_normal,VTNet Datalake Presto.hive.npms.kpi_access3g_all_day_normal,Network KPI/5G,True,hourly,87,"[AI Gen] Bảng VTNet Datalake Presto.hive.npms.kpi_access3g_all_day_normal lưu trữ các chỉ số KPI truy cập mạng 3G theo ngày, bao gồm thông tin về lưu lượng, hiệu suất, tỷ lệ thành công/ thất bại của các kênh CS và PS, cùng các thông số chuyển vùng, chuyển mạch và thời gian hoạt động của cell."
hive,npms,resource_coremobile_weekly_bk,VTNet Datalake Presto.hive.npms.resource_coremobile_weekly_bk,Network KPI/5G,True,hourly,18,"[AI Gen] Bảng này lưu trữ dữ liệu tổng hợp hàng tuần về các chỉ số tài nguyên mạng Core Mobile (CoreNetwork) của VTNet. Dữ liệu được phân chia theo vùng (zone), nhà cung cấp (vendor), quốc gia và thời gian (năm, tuần, ngày giờ). Mỗi bản ghi bao gồm các KPI trung bình và tối đa cho các tuần cụ thể, cùng với thông tin về loại giấy phép, hệ thống và các thuộc tính phụ trợ khác, hỗ trợ phân tích hiệu suất, dự báo nhu cầu và tối ưu hoá tài nguyên mạng."
hive,npms,kpi_coremobile_stp_hour_normal,VTNet Datalake Presto.hive.npms.kpi_coremobile_stp_hour_normal,Network KPI/5G,True,hourly,15,"[AI Gen] Bảng này lưu trữ các chỉ số KPI Core Mobile theo giờ của hệ thống STP (Signal Transfer Point) trong môi trường VTNet Datalake. Dữ liệu được thu thập theo từng giờ, bao gồm thông tin thời gian, vị trí địa lý, nhà cung cấp và các tham số liên quan đến giao thức Sigtran và GTT. Mục đích là cung cấp thông tin chi tiết để phân tích hiệu năng mạng và hỗ trợ quyết định quản trị mạng."
hive,npms,sub_attached_vi_tri,VTNet Datalake Presto.hive.npms.sub_attached_vi_tri,Network KPI/5G,True,hourly,10,"[AI Gen] Bảng tổng hợp số liệu thuê bao gắn mạng tại các vị trí địa lý theo thời gian, được lưu trữ trong hệ thống Datalake Presto, cung cấp thông tin chi tiết về tổng số thuê bao và phân bổ theo công nghệ 2G/3G/4G cùng các tỉ lệ phần trăm tương ứng."
hive,npms,ericsson_vudc_eric_udr_app_counter_grp_hlrfe_hlrsubs_group,VTNet Datalake Presto.hive.npms.ericsson_vudc_eric_udr_app_counter_grp_hlrfe_hlrsubs_group,Network KPI/5G,True,hourly,19,"[AI Gen] Bảng chứa số liệu thống kê các chỉ số đếm (counter) của ứng dụng UDR Ericsson, được nhóm theo HLR, FE và các nhóm thuê bao phụ (HLR subs). Dữ liệu được lưu trữ trong hệ thống Datalake Presto, mỗi bản ghi phản ánh trạng thái các chỉ số trong một khoảng thời gian nhất định, hỗ trợ phân tích mức độ sử dụng mạng và quản lý thuê bao."
