invoice_id,customer_id,account_id,plan_id,billing_month,issued_date,due_date,base_amount_vnd,adjustment_vnd,tax_vnd,total_vnd,paid_vnd,status,province_code
INV0001,CUS0001,ACC0001,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,DBN
INV0002,CUS0002,ACC0002,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,DBN
INV0003,CUS0003,ACC0003,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,DBN
INV0004,CUS0004,ACC0004,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,DBN
INV0005,CUS0005,ACC0005,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,DBN
INV0006,CUS0006,ACC0006,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,SLA
INV0007,CUS0007,ACC0007,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,SLA
INV0008,CUS0008,ACC0008,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,SLA
INV0009,CUS0009,ACC0009,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,SLA
INV0010,CUS0010,ACC0010,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,SLA
INV0011,CUS0011,ACC0011,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,CMU
INV0012,CUS0012,ACC0012,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,CMU
INV0013,CUS0013,ACC0013,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,CMU
INV0014,CUS0014,ACC0014,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,CMU
INV0015,CUS0015,ACC0015,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,CMU
INV0016,CUS0016,ACC0016,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,NBH
INV0017,CUS0017,ACC0017,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,NBH
INV0018,CUS0018,ACC0018,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,NBH
INV0019,CUS0019,ACC0019,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,NBH
INV0020,CUS0020,ACC0020,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,NBH
INV0021,CUS0021,ACC0021,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,HCM
INV0022,CUS0022,ACC0022,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,HCM
INV0023,CUS0023,ACC0023,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,HCM
INV0024,CUS0024,ACC0024,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,HCM
INV0025,CUS0025,ACC0025,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,HCM
INV0026,CUS0026,ACC0026,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,0,unpaid,KHA
INV0027,CUS0027,ACC0027,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,KHA
INV0028,CUS0028,ACC0028,PLAN03,2026-08,2026-08-20,2026-09-05,450000,0,45000,495000,495000,paid,KHA
INV0029,CUS0029,ACC0029,PLAN01,2026-08,2026-08-20,2026-09-05,220000,0,22000,242000,242000,paid,KHA
INV0030,CUS0030,ACC0030,PLAN02,2026-08,2026-08-20,2026-09-05,300000,0,30000,330000,330000,paid,KHA
