cost_center_id,province_code,station_id,cost_date,energy_cost_vnd,maintenance_cost_vnd,transport_cost_vnd,depreciation_vnd,total_cost_vnd,budget_vnd,variance_vnd,currency,approval_status
CC01,DBN,ST0101,2026-08-20,13064,2000,5000,12000,32064,35000,-2936,VND,approved
CC02,DBN,ST0102,2026-08-20,12972,2000,5000,12000,31972,35000,-3028,VND,approved
CC03,SLA,ST0201,2026-08-20,12535,2000,5000,12000,31535,35000,-3465,VND,approved
CC04,SLA,ST0202,2026-08-20,12995,2000,5000,12000,31995,35000,-3005,VND,approved
CC05,CMU,ST0301,2026-08-20,9223,2000,5000,12000,28223,35000,-6777,VND,approved
CC06,CMU,ST0302,2026-08-20,14628,2000,5000,12000,33628,35000,-1372,VND,approved
CC07,NBH,ST0401,2026-08-20,7360,2000,5000,12000,26360,35000,-8640,VND,approved
CC08,NBH,ST0402,2026-08-20,13317,2000,5000,12000,32317,35000,-2683,VND,approved
CC09,HCM,ST0501,2026-08-20,6601,2000,5000,12000,25601,35000,-9399,VND,approved
CC10,HCM,ST0502,2026-08-20,11109,2000,5000,12000,30109,35000,-4891,VND,approved
CC11,KHA,ST0601,2026-08-20,11109,2000,5000,12000,30109,35000,-4891,VND,approved
CC12,KHA,ST0602,2026-08-20,8648,2000,5000,12000,27648,35000,-7352,VND,approved
