renewable_mix_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,grid_kwh,generator_kwh,load_kw,cost_vnd
ENERGY-RENEWABLE_MIX_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.48,index,valid,synthetic_energy,7.35,0,7.35,16905
ENERGY-RENEWABLE_MIX_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,16.27,index,valid,synthetic_energy,6.66,0,6.66,15318
ENERGY-RENEWABLE_MIX_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.69,index,valid,synthetic_energy,3.27,0,3.27,7521
ENERGY-RENEWABLE_MIX_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.22,index,valid,synthetic_energy,6.52,0,6.52,14996
ENERGY-RENEWABLE_MIX_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.88,index,valid,synthetic_energy,4.83,0,4.83,11109
ENERGY-RENEWABLE_MIX_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,84.11,index,valid,synthetic_energy,3.53,0,3.53,8119
ENERGY-RENEWABLE_MIX_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,19.27,index,valid,synthetic_energy,6.31,0,6.31,14513
ENERGY-RENEWABLE_MIX_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,80.77,index,valid,synthetic_energy,3.61,0,3.61,8303
ENERGY-RENEWABLE_MIX_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,41.51,index,valid,synthetic_energy,7.61,0,7.61,17503
ENERGY-RENEWABLE_MIX_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,48.83,index,valid,synthetic_energy,6.95,0,6.95,15985
ENERGY-RENEWABLE_MIX_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,31.98,index,valid,synthetic_energy,3.28,0,3.28,7544
ENERGY-RENEWABLE_MIX_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.98,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-RENEWABLE_MIX_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,83.1,index,valid,synthetic_energy,4.22,0,4.22,9706
ENERGY-RENEWABLE_MIX_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,20.03,index,valid,synthetic_energy,6.05,0,6.05,13915
ENERGY-RENEWABLE_MIX_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,35.21,index,valid,synthetic_energy,5.49,0,5.49,12627
ENERGY-RENEWABLE_MIX_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,28.03,index,valid,synthetic_energy,5.69,0,5.69,13087
ENERGY-RENEWABLE_MIX_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,54.42,index,valid,synthetic_energy,4.37,0,4.37,10051
ENERGY-RENEWABLE_MIX_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,50.54,index,valid,synthetic_energy,7.54,0,7.54,17342
