case_id,question_id,db_id,stratum,results_match,risk_flags,question,review_status,reviewer,rationale
bird_1509,1509,debit_card_specializing,S2,True,comparison_boundary_changed,"Among the transactions made in the gas stations in the Czech Republic, how many of them are taken place after 2012/1/1?",PENDING,,
bird_1040,1040,european_football_2,S2,True,,List the top 10 players' names whose heights are above 180 in descending order of average heading accuracy.,PENDING,,
bird_128,128,financial,S2,False,execution_result_changed,"List the top nine districts, by descending order, from the highest to the lowest, the number of female account holders.",PENDING,,
bird_1242,1242,thrombosis_prediction,S2,False,time_reference_changed|execution_result_changed,"For laboratory examinations take in 1984, list all patients below 50 years old with normal platelet level.",PENDING,,
bird_1254,1254,thrombosis_prediction,S2,False,distinct_changed|comparison_boundary_changed|execution_result_changed,How many patients with a normal Ig A level came to the hospital after 1990/1/1?,PENDING,,
bird_1265,1265,thrombosis_prediction,S2,False,execution_result_changed,How many patients have a normal level of anti-ribonuclear protein and have been admitted to the hospital?,PENDING,,
bird_473,473,card_games,S2,True,,Is the set of cards with Adarkar Valkyrie only available outside the United States?,PENDING,,
bird_1068,1068,european_football_2,S2,False,comparison_boundary_changed|execution_result_changed,"From 2010 to 2015, what was the average overall rating of players who are higher than 170?",PENDING,,
bird_50,50,california_schools,S2,False,execution_result_changed,What is the postal street address for the school with the 7th highest Math average? Indicate the school's name.,PENDING,,
bird_1166,1166,thrombosis_prediction,S2,False,set_operation_changed|distinct_changed|join_count_changed|select_count_changed|execution_result_changed,What are the symptoms observed by the youngest patient to ever did a medical examination? Identify their diagnosis.,PENDING,,
bird_125,125,financial,S3,False,execution_result_changed,"For loans contracts which are still running where client are in debt, list the district of the and the state the percentage unemployment rate increment from year 1995 to 1996.",PENDING,,
bird_637,637,codebase_community,S3,False,distinct_changed|join_count_changed|execution_result_changed,State all the tags used by Mark Meckes in his posts that doesn't have comments.,PENDING,,
bird_1387,1387,student_club,S3,False,execution_result_changed,Which student has been entrusted to manage the budget for the Yearly Kickoff?,PENDING,,
bird_634,634,codebase_community,S3,False,join_count_changed|execution_result_changed,"Among posts by Harvey Motulsky and Noah Snyder, which one has higher popularity?",PENDING,,
bird_247,247,toxicology,S3,False,join_count_changed|execution_result_changed,List all the elements of atoms that can not bond with any other atoms.,PENDING,,
bird_1481,1481,debit_card_specializing,S3,False,distinct_changed|join_count_changed|select_count_changed|execution_result_changed,"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?",PENDING,,
bird_788,788,superhero,S3,False,execution_result_changed,How many percent of female heroes were published by Marvel Comics?,PENDING,,
bird_1529,1529,debit_card_specializing,S3,False,join_count_changed|execution_result_changed,"What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012?",PENDING,,
bird_248,248,toxicology,S3,False,distinct_changed|execution_result_changed,"What are the atoms of the triple bond with the molecule ""TR041""?",PENDING,,
bird_1179,1179,thrombosis_prediction,S3,False,execution_result_changed,"For the patient who was diagnosed with SLE on 1994/2/19, what was his/her anti-Cardiolipin antibody concentration status on 1993/11/12?",PENDING,,
bird_736,736,superhero,S3,False,select_count_changed|execution_result_changed,Who is the dumbest superhero?,PENDING,,
bird_1028,1028,european_football_2,S3,False,distinct_changed|join_count_changed|select_count_changed|execution_result_changed,"In Scotland Premier League, which away team won the most during the 2010 season?",PENDING,,
bird_761,761,superhero,S3,True,,"Among the male superheroes, list the super hero names of superheroes with weight greater than the 79% average weight of all superheroes.",PENDING,,
bird_1389,1389,student_club,S3,True,,Which event has the lowest cost?,PENDING,,
bird_794,794,superhero,S3,False,join_count_changed|select_count_changed|execution_result_changed,Which hero was the fastest?,PENDING,,
bird_17,17,california_schools,S4,True,,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.",PENDING,,
bird_41,41,california_schools,S4,False,distinct_changed|execution_result_changed,List the names of virtual schools that are among the top 5 in their respective counties based on average reading scores.,PENDING,,
bird_726,726,superhero,S4,False,execution_result_changed,Rank heroes published by Marvel Comics by their height in descending order.,PENDING,,
bird_944,944,formula_1,S4,False,execution_result_changed,How much faster in percentage is the champion than the driver who finished the race last in the 2008 Australian Grand Prix?,PENDING,,
bird_955,955,formula_1,S4,False,select_count_changed|execution_result_changed,"What is the average time in seconds of champion for each year, before year 1975?",PENDING,,
bird_1011,1011,formula_1,S4,False,select_count_changed|execution_result_changed,Which top 20 driver created the shortest lap time ever record in a Formula_1 race? Please give them full names.,PENDING,,
bird_1058,1058,european_football_2,S4,False,execution_result_changed,Who has the highest average finishing rate between the highest and shortest football player?,PENDING,,
bird_1322,1322,student_club,S4,False,set_operation_changed|execution_result_changed,"Among the events attended by more than 10 members of the Student_Club, how many of them are meetings?",PENDING,,
bird_1323,1323,student_club,S4,True,set_operation_changed|distinct_changed|select_count_changed,List all the names of events that had an attendance of over 20 students but were not fundraisers.,PENDING,,
