subscription_id,customer_id,account_id,plan_id,service_id,province_code,start_date,end_date,status,access_technology,station_id,last_change_at,monthly_fee_vnd
SUB0001,CUS0001,ACC0001,PLAN01,SVC-FTTH,DBN,2025-05-01,,active,FTTH,ST0101,2026-01-01 00:00:00,220000
SUB0002,CUS0002,ACC0002,PLAN02,SVC-FTTH,DBN,2025-05-01,,active,FTTH,ST0102,2026-01-01 00:00:00,300000
SUB0003,CUS0003,ACC0003,PLAN03,SVC-FTTH,DBN,2025-05-01,,active,FTTH,ST0101,2026-01-01 00:00:00,450000
SUB0004,CUS0004,ACC0004,PLAN01,SVC-FTTH,DBN,2025-05-01,,active,FTTH,ST0102,2026-01-01 00:00:00,220000
SUB0005,CUS0005,ACC0005,PLAN02,SVC-FTTH,DBN,2025-05-01,,active,FTTH,ST0101,2026-01-01 00:00:00,300000
SUB0006,CUS0006,ACC0006,PLAN01,SVC-FTTH,SLA,2025-05-01,,active,FTTH,ST0201,2026-01-01 00:00:00,220000
SUB0007,CUS0007,ACC0007,PLAN02,SVC-FTTH,SLA,2025-05-01,,active,FTTH,ST0202,2026-01-01 00:00:00,300000
SUB0008,CUS0008,ACC0008,PLAN03,SVC-FTTH,SLA,2025-05-01,,active,FTTH,ST0201,2026-01-01 00:00:00,450000
SUB0009,CUS0009,ACC0009,PLAN01,SVC-FTTH,SLA,2025-05-01,,active,FTTH,ST0202,2026-01-01 00:00:00,220000
SUB0010,CUS0010,ACC0010,PLAN02,SVC-FTTH,SLA,2025-05-01,,active,FTTH,ST0201,2026-01-01 00:00:00,300000
SUB0011,CUS0011,ACC0011,PLAN01,SVC-FTTH,CMU,2025-05-01,,active,FTTH,ST0301,2026-01-01 00:00:00,220000
SUB0012,CUS0012,ACC0012,PLAN02,SVC-FTTH,CMU,2025-05-01,,active,FTTH,ST0302,2026-01-01 00:00:00,300000
SUB0013,CUS0013,ACC0013,PLAN03,SVC-FTTH,CMU,2025-05-01,,active,FTTH,ST0301,2026-01-01 00:00:00,450000
SUB0014,CUS0014,ACC0014,PLAN01,SVC-FTTH,CMU,2025-05-01,,active,FTTH,ST0302,2026-01-01 00:00:00,220000
SUB0015,CUS0015,ACC0015,PLAN02,SVC-FTTH,CMU,2025-05-01,,active,FTTH,ST0301,2026-01-01 00:00:00,300000
SUB0016,CUS0016,ACC0016,PLAN01,SVC-FTTH,NBH,2025-05-01,,active,FTTH,ST0401,2026-01-01 00:00:00,220000
SUB0017,CUS0017,ACC0017,PLAN02,SVC-FTTH,NBH,2025-05-01,,active,FTTH,ST0402,2026-01-01 00:00:00,300000
SUB0018,CUS0018,ACC0018,PLAN03,SVC-FTTH,NBH,2025-05-01,,active,FTTH,ST0401,2026-01-01 00:00:00,450000
SUB0019,CUS0019,ACC0019,PLAN01,SVC-FTTH,NBH,2025-05-01,,active,FTTH,ST0402,2026-01-01 00:00:00,220000
SUB0020,CUS0020,ACC0020,PLAN02,SVC-FTTH,NBH,2025-05-01,,active,FTTH,ST0401,2026-01-01 00:00:00,300000
SUB0021,CUS0021,ACC0021,PLAN01,SVC-FTTH,HCM,2025-05-01,,active,FTTH,ST0501,2026-01-01 00:00:00,220000
SUB0022,CUS0022,ACC0022,PLAN02,SVC-FTTH,HCM,2025-05-01,,active,FTTH,ST0502,2026-01-01 00:00:00,300000
SUB0023,CUS0023,ACC0023,PLAN03,SVC-FTTH,HCM,2025-05-01,,active,FTTH,ST0501,2026-01-01 00:00:00,450000
SUB0024,CUS0024,ACC0024,PLAN01,SVC-FTTH,HCM,2025-05-01,,active,FTTH,ST0502,2026-01-01 00:00:00,220000
SUB0025,CUS0025,ACC0025,PLAN02,SVC-FTTH,HCM,2025-05-01,,active,FTTH,ST0501,2026-01-01 00:00:00,300000
SUB0026,CUS0026,ACC0026,PLAN01,SVC-FTTH,KHA,2025-05-01,,active,FTTH,ST0601,2026-01-01 00:00:00,220000
SUB0027,CUS0027,ACC0027,PLAN02,SVC-FTTH,KHA,2025-05-01,,active,FTTH,ST0602,2026-01-01 00:00:00,300000
SUB0028,CUS0028,ACC0028,PLAN03,SVC-FTTH,KHA,2025-05-01,,active,FTTH,ST0601,2026-01-01 00:00:00,450000
SUB0029,CUS0029,ACC0029,PLAN01,SVC-FTTH,KHA,2025-05-01,,active,FTTH,ST0602,2026-01-01 00:00:00,220000
SUB0030,CUS0030,ACC0030,PLAN02,SVC-FTTH,KHA,2025-05-01,,active,FTTH,ST0601,2026-01-01 00:00:00,300000
