revenue_daily_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-REVENUE_DAILY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,52.86,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,79.85,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.86,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,34.15,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,76.59,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,69.53,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,56.63,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-REVENUE_DAILY-02-24,ST0301,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,77.42,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-REVENUE_DAILY-02-48,ST0301,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,69.25,index,valid,synthetic_billing,450000,45000,0,495000
BILLING-REVENUE_DAILY-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,41.78,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-03-24,ST0402,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,69.47,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-03-48,ST0402,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,53.15,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,70.5,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-04-24,ST0501,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,43.7,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-04-48,ST0501,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,40.37,index,valid,synthetic_billing,300000,30000,0,330000
BILLING-REVENUE_DAILY-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,23.66,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-05-24,ST0601,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,15.31,index,valid,synthetic_billing,220000,22000,0,242000
BILLING-REVENUE_DAILY-05-48,ST0601,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,15.39,index,valid,synthetic_billing,220000,22000,0,242000
